Name                                                                                                                Coverage         
------------------------------------------------------------------------------------------------------------------- ---------------- 
LearnMorseCode.app                                                                                                  93.22% (220/236) 
    /Users/vivek/Development/LearnMorseCode/LearnMorseCode/LearnMorseCodeApp.swift                                  100.00% (10/10)  
        LearnMorseCodeApp.body.getter                                                                               100.00% (6/6)    
        closure #1 in LearnMorseCodeApp.body.getter                                                                 100.00% (4/4)    
    /Users/vivek/Development/LearnMorseCode/LearnMorseCode/ContentView.swift                                        92.92% (210/226) 
        variable initialization expression of ContentView._selectedTab                                              100.00% (1/1)    
        ContentView.body.getter                                                                                     100.00% (65/65)  
        closure #1 in ContentView.body.getter                                                                       100.00% (62/62)  
        closure #1 in closure #1 in ContentView.body.getter                                                         100.00% (33/33)  
        closure #1 in closure #1 in closure #1 in ContentView.body.getter                                           0.00% (0/3)      
        closure #2 in closure #1 in closure #1 in ContentView.body.getter                                           0.00% (0/3)      
        closure #3 in closure #1 in closure #1 in ContentView.body.getter                                           0.00% (0/3)      
        closure #4 in closure #1 in closure #1 in ContentView.body.getter                                           0.00% (0/3)      
        closure #2 in closure #1 in ContentView.body.getter                                                         71.43% (10/14)   
        TabButton.body.getter                                                                                       100.00% (18/18)  
        closure #1 in TabButton.body.getter                                                                         100.00% (15/15)  
        closure #1 in closure #1 in TabButton.body.getter                                                           100.00% (6/6)    
LearnMorseCodeTests.xctest                                                                                          0.00% (0/3)      
    /Users/vivek/Development/LearnMorseCode/LearnMorseCodeTests/LearnMorseCodeTests.swift                           0.00% (0/3)      
        LearnMorseCodeTests.example()                                                                               0.00% (0/3)      
LearnMorseUI                                                                                                        89.86% (62/69)   
    /Users/vivek/Development/LearnMorseCode/Modules/LearnMorseKit/LearnMorseUI/MorseCodeCard.swift                  89.86% (62/69)   
        variable initialization expression of MorseCodeCard._isPressed                                              100.00% (1/1)    
        MorseCodeCard.init(character:morseCode:onTap:)                                                              100.00% (5/5)    
        MorseCodeCard.body.getter                                                                                   100.00% (41/41)  
        closure #1 in MorseCodeCard.body.getter                                                                     100.00% (15/15)  
        closure #2 in MorseCodeCard.body.getter                                                                     0.00% (0/3)      
        closure #3 in MorseCodeCard.body.getter                                                                     0.00% (0/3)      
        closure #4 in MorseCodeCard.body.getter                                                                     0.00% (0/1)      
MorseReference                                                                                                      92.57% (187/202) 
    /Users/vivek/Development/LearnMorseCode/Modules/LearnMorseKit/Features/MorseReference/MorseReferenceView.swift  92.57% (187/202) 
        variable initialization expression of MorseReferenceView._searchText                                        100.00% (1/1)    
        variable initialization expression of MorseReferenceView._selectedCategory                                  100.00% (1/1)    
        MorseReferenceView.init()                                                                                   100.00% (1/1)    
        variable initialization expression of MorseReferenceView.morseData                                          100.00% (19/19)  
        MorseReferenceView.filteredData.getter                                                                      60.00% (6/10)    
